"Subj","Block","Trial","RT","Cond","stimuli","direction","AlignedVAR","UnalignedVAR"
"10","10","10","1789","Tool","sieve01b","Right",36.6341651471682,40.8117179701271
"10","10","10","1506","Tool","spatula04","Left",2810.89883725156,1942.82399858103
"10","10","10","1288","Tool","lintbrush","Right",1152.49600813352,797.601548923761
"10","10","10","672","Tool","barbecuelighter","Right",609.341167473547,578.939460427275
"10","10","10","1822","Tool","badmintonracket","Right",15.5361370581669,107.649514386923
"10","10","10","1407","Tool","icescraper","Right",206.555494389115,176.181816020672
"10","10","10","1105","Tool","garlicpress02a","Right",160.495572417045,88.4903432358208
"10","10","10","1106","Tool","flashlight02b","Left",144.76524479661,64.605763536494
"10","10","10","1355","Tool","handbrush02","Left",2796.02954514191,2023.20395790306
"10","10","10","1105","Tool","hammer01","Left",99.4017160778835,207.537012541044
"10","10","10","2156","Tool","metalbrush","Right",32.6854280360827,41.4899023138627
"10","10","10","1106","Tool","cleaver02","Right",91.0956963384739,83.394445388148
"10","10","10","1438","Tool","curlingiron01a","Left",116.763193844648,95.0275480147245
"10","10","10","1554","Tool","racquetballracket","Right",11.3915513367518,12.4609714622441
"10","10","10","2555","Tool","whisk","Left",117.00570549345,340.711569406405
"10","10","10","1955","Tool","electrictoothbrush01c","Right",42.0810712627903,202.117801541873
"10","10","10","1871","Tool","pliers02b","Right",27.3665406187578,136.400577445569
"10","10","10","1205","Tool","machete","Left",3151.7896070046,2608.79613583523
"10","10","10","855","Tool","huntingknife","Right",883.224006882563,686.158044756781
"10","10","10","1588","Tool","paintbrush01","Left",85.0658812800401,130.095267004519
"10","10","10","1289","Tool","umbrella04","Left",117.212161329289,202.07429344526
"10","10","10","1655","Tool","woodenspoon","Right",3327.94775202095,2550.9599629677
"10","10","10","1541","Tool","boxcutter03a","Right",11.2073655827769,74.3115767994175
"10","10","10","2056","Tool","screwdriver04b","Left",208.494506963978,343.773033261307
"10","10","10","1907","Tool","toiletbrush","Right",45.5009206075262,23.9870122555116
"10","10","10","1489","Tool","fryingpan02a","Left",3131.89430762209,2501.26420306057
"10","10","10","1456","Tool","mallet01b","Right",1822.71447550606,1466.35546077672
"10","10","10","1390","Tool","squeegee01b","Left",2722.87393962421,2182.47465355563
"10","10","10","2689","Tool","peeler01","Right",82.2309591366602,33.4930652389156
"10","10","10","1172","Tool","file","Right",3349.98235526805,2830.19017839266
"10","10","10","2273","Tool","lintroller","Right",96.7814595804725,53.178059366465
"10","10","10","1155","Tool","bottleopener01","Left",3401.49564197245,2496.37249274617
"10","10","10","1124","Tool","comb02a","Left",869.067896846326,642.498590114907
"10","10","10","3388","Tool","breadknife","Right",20.933458159114,16.5337529636613
"10","10","10","2889","Tool","servingspoon01","Left",79.2773281707053,22.4756319830841
"10","10","10","2457","Tool","oneholepunch","Left",143.56092517083,33.6213771772015
"10","10","10","1705","Tool","chisel02b","Left",34.3979760889584,6.19375320590033
"10","10","10","1007","Animal","seaturtle","Right",763.802851945405,710.271025852956
"10","10","10","1022","Animal","salmon","Right",1700.51431099719,1669.15542829514
"10","10","10","1071","Animal","saintbernard","Right",141.956348554909,157.348531638263
"10","10","10","1023","Animal","hippopotamus","Right",263.510885017701,490.041761280397
"10","10","10","1406","Animal","parrot01","Left",130.635774558099,307.949073050806
"10","10","10","1005","Animal","duck01","Right",490.818312240967,1065.11721902516
"10","10","10","888","Animal","rockbass","Left",1742.25037505569,1860.46736652794
"10","10","10","821","Animal","dromedary","Left",726.037622881488,880.135239768616
"10","10","10","922","Animal","platypus","Left",94.8180748641593,802.511026071766
"10","10","10","972","Animal","tiger02","Right",24.7526009673217,266.650329353236
"10","10","10","1039","Animal","cat","Left",1617.34088351163,2156.14324084092
"10","10","10","1439","Animal","clownfish","Right",779.35620495102,686.549143676299
"10","10","10","872","Animal","zebra","Right",1698.80136339793,2104.9376885784
"10","10","10","1223","Animal","sheep","Right",175.208879210585,305.74333053081
